gender,race,residence,income,school_type,hooks,major,sat,ec_awards,essay_lor_interview,acceptances,waitlists,rejections,note,acceptances_clean,waitlists_clean,rejections_clean,num_acceptances,num_waitlists,num_rejections
F,ASIAN,IL,Low,NA,URM,ENG,1510,3.5,0,"['*CASE WESTERN', '*ARIZONA STATE']",[],"['*JOHNS HOPKINS', '*RICE', '*UMICH', '*UIUC', '*NORTHEASTERN', '*TULANE']",NA,"CASE WESTERN, ARIZONA STATE",,"JOHNS HOPKINS, RICE, UMICH, UIUC, NORTHEASTERN, TULANE",2,0,6
M,WHITE,NA,High,PRIVATE,LEGACY,CS,1560,6.5,7,['*GEORGIA TECH'],['*NORTHEASTERN'],"['*YALE', '*BROWN', '*GEORGIA TECH', '*CMU', '*UIUC', '*BOSTON UNIVERSITY', '*WASHU', '*NORTHEASTERN', '*UVA']",NA,GEORGIA TECH,NORTHEASTERN,"YALE, BROWN, GEORGIA TECH, CMU, UIUC, BOSTON UNIVERSITY, WASHU, NORTHEASTERN, UVA",1,1,9
M,ASIAN,IN,Low,PRIVATE,NONE,CS,1540,2.5,2.5,"['*PURDUE', '*FORDHAM', '*RUTGERS', '*ARIZONA STATE']",[],['*RUTGERS'],NA,"PURDUE, FORDHAM, RUTGERS, ARIZONA STATE",,RUTGERS,4,0,1
M,ASIAN,IL,High,PUBLIC,FIRST-GEN,CS,1590,8.5,4.5,"['*PURDUE', '*UCSB', '*UW MADISON']",['*CMU'],"['*UCLA', '*STANFORD', '*BERKELEY', '*UIUC', '*UT-AUSTIN']",NA,"PURDUE, UCSB, UW MADISON",CMU,"UCLA, STANFORD, BERKELEY, UIUC, UT-AUSTIN",3,1,5
M,WHITE,USA,Low,NA,NONE,ENG,1370,6.5,6.7,['*PURDUE'],[],[],NA,PURDUE,,,1,0,0
F,ASIAN,MI,Middle,PRIVATE,NONE,BIO,1580,4.5,8.5,"['*MIT', '*NORTHEASTERN']",[],"['*RICE', '*VANDERBILT', '*UT-AUSTIN']",NA,"MIT, NORTHEASTERN",,"RICE, VANDERBILT, UT-AUSTIN",2,0,3
M,ASIAN,IA,NA,NA,NONE,NA,1570,3.5,3.5,"['*GEORGIA TECH', '*PURDUE', '*UPENN', '*ARIZONA STATE']",[],"['*UCLA', '*STANFORD', '*UCSD', '*MIT', '*DARTMOUTH', '*RICE', '*UW MADISON']",NA,"GEORGIA TECH, PURDUE, UPENN, ARIZONA STATE",,"UCLA, STANFORD, UCSD, MIT, DARTMOUTH, RICE, UW MADISON",4,0,7
M,ASIAN,MI,Low,NA,FIRST-GEN,CS,1310,5.5,2.5,['*GEORGIA TECH'],[],"['*COLUMBIA', '*UIUC', '*UCHICAGO']",NA,GEORGIA TECH,,"COLUMBIA, UIUC, UCHICAGO",1,0,3
F,ASIAN,TX,Low,PUBLIC,FIRST-GEN,BIO,1370,6.5,4.5,"['*EMORY', '*UT-AUSTIN']",['*RICE'],[],NA,"EMORY, UT-AUSTIN",RICE,,2,1,0
M,ASIAN,GA,High,PUBLIC,NONE,CS,1550,6.5,6.5,['*GEORGIA TECH'],[],[],NA,GEORGIA TECH,,,1,0,0
M,WHITE,WA,Low,NA,NONE,CS,1510,5.5,4,[],['*WASHU'],"['*HARVARD', '*NORTHWESTERN', '*COLUMBIA', '*CORNELL', '*DUKE', '*PRINCETON', '*JOHNS HOPKINS', '*WILLIAMS', '*CASE WESTERN', '*BOSTON UNIVERSITY', '*TUFTS']",NA,,WASHU,"HARVARD, NORTHWESTERN, COLUMBIA, CORNELL, DUKE, PRINCETON, JOHNS HOPKINS, WILLIAMS, CASE WESTERN, BOSTON UNIVERSITY, TUFTS",0,1,11
M,ASIAN,MI,Low,PUBLIC,FIRST-GEN,CS,1550,7.5,7.2,"['*HARVARD', '*YALE', '*BROWN', '*STANFORD', '*NORTHWESTERN', '*COLUMBIA', '*CORNELL', '*DUKE', '*PRINCETON', '*MIT', '*CALTECH', '*GEORGIA TECH', '*JOHNS HOPKINS', '*CMU', '*UPENN', '*BOSTON UNIVERSITY', '*NORTHEASTERN', '*UCHICAGO']",[],[],NA,"HARVARD, YALE, BROWN, STANFORD, NORTHWESTERN, COLUMBIA, CORNELL, DUKE, PRINCETON, MIT, CALTECH, GEORGIA TECH, JOHNS HOPKINS, CMU, UPENN, BOSTON UNIVERSITY, NORTHEASTERN, UCHICAGO",,,18,0,0
M,ASIAN,MA,Low,NA,LEGACY,ENG,1520,6.5,1,"['*CALTECH', '*CASE WESTERN']","['*CMU', '*NORTHEASTERN']","['*UCLA', '*HARVARD', '*STANFORD', '*COLUMBIA', '*CORNELL', '*BERKELEY', '*DUKE', '*SWARTHMORE', '*UPENN', '*WASHU', '*TUFTS', '*HARVEY MUDD']",NA,"CALTECH, CASE WESTERN","CMU, NORTHEASTERN","UCLA, HARVARD, STANFORD, COLUMBIA, CORNELL, BERKELEY, DUKE, SWARTHMORE, UPENN, WASHU, TUFTS, HARVEY MUDD",2,2,12
F,ASIAN,OR,Low,NA,NONE,BIO,1310,1.5,4.8,[],[],"['*VIRGINIA TECH', '*UVA']",NA,,,"VIRGINIA TECH, UVA",0,0,2
F,ASIAN,CA,Low,PUBLIC,NONE,LAW,1310,6.5,8.5,['*JOHNS HOPKINS'],[],[],NA,JOHNS HOPKINS,,,1,0,0
F,WHITE,VA,High,PUBLIC,LEGACY,MEDIA STUDIES,1390,6.5,8.5,"['*UMICH', '*UVA']",[],"['*SWARTHMORE', '*FORDHAM']",NA,"UMICH, UVA",,"SWARTHMORE, FORDHAM",2,0,2
M,ASIAN,CA,Low,NA,NONE,BUSINESS,1250,1,6.5,[],"['*UCLA', '*ARIZONA STATE']",[],NA,,"UCLA, ARIZONA STATE",,0,2,0
F,WHITE,GA,High,PUBLIC,LEGACY,NA,1300,6.5,2.5,"['*BERKELEY', '*UCSD', '*UCSB', '*TULANE']",[],"['*UCLA', '*COLUMBIA', '*NYU', '*BOSTON UNIVERSITY', '*TULANE']",NA,"BERKELEY, UCSD, UCSB, TULANE",,"UCLA, COLUMBIA, NYU, BOSTON UNIVERSITY, TULANE",4,0,5
F,ASIAN,IN,Low,NA,FIRST-GEN,BUSINESS,1380,5.5,2.5,['*UVA'],[],[],NA,UVA,,,1,0,0
M,ASIAN,CA,Low,PRIVATE,NONE,CS,1570,7.5,3.7,['*BERKELEY'],"['*GEORGIA TECH', '*PURDUE', '*UMICH', '*CASE WESTERN']",['*CMU'],NA,BERKELEY,"GEORGIA TECH, PURDUE, UMICH, CASE WESTERN",CMU,1,4,1
M,ASIAN,IN,High,PUBLIC,NONE,ENG,1590,6.5,7.8,['*DUKE'],"['*UCLA', '*BERKELEY', '*GEORGIA TECH', '*UMICH', '*UVA']",[],NA,DUKE,"UCLA, BERKELEY, GEORGIA TECH, UMICH, UVA",,1,5,0
M,ASIAN,OR,High,PRIVATE,NONE,CS,1600,8.5,6.5,[],['*HARVARD'],"['*UCLA', '*HARVARD', '*YALE', '*BROWN', '*STANFORD', '*NORTHWESTERN', '*COLUMBIA', '*CORNELL', '*BERKELEY', '*PRINCETON', '*CALTECH', '*NYU', '*UPENN', '*TUFTS']",NA,,HARVARD,"UCLA, HARVARD, YALE, BROWN, STANFORD, NORTHWESTERN, COLUMBIA, CORNELL, BERKELEY, PRINCETON, CALTECH, NYU, UPENN, TUFTS",0,1,14
F,ASIAN,MA,High,PRIVATE,NONE,BIO,1550,5.5,7.6,"['*NORTHEASTERN', '*UVA']","['*JOHNS HOPKINS', '*UMICH', '*UNC CHAPEL HILL']","['*HARVARD', '*YALE', '*BROWN', '*COLUMBIA', '*DUKE', '*UPENN', '*CASE WESTERN']",NA,"NORTHEASTERN, UVA","JOHNS HOPKINS, UMICH, UNC CHAPEL HILL","HARVARD, YALE, BROWN, COLUMBIA, DUKE, UPENN, CASE WESTERN",2,3,7
M,BLACK,GA,High,PUBLIC,URM,CS,1530,3.5,7.8,"['*MIT', '*GEORGIA TECH']",[],[],NA,"MIT, GEORGIA TECH",,,2,0,0
M,ASIAN,CA,High,PUBLIC,NONE,CS,1500,6.5,8.2,"['*GEORGIA TECH', '*PURDUE', '*UMICH', '*UIUC', '*NORTHEASTERN', '*UVA']",[],"['*NORTHWESTERN', '*CORNELL', '*DUKE', '*DARTMOUTH', '*CMU', '*RICE', '*UPENN', '*UCR', '*San Jose State University']",NA,"GEORGIA TECH, PURDUE, UMICH, UIUC, NORTHEASTERN, UVA",,"NORTHWESTERN, CORNELL, DUKE, DARTMOUTH, CMU, RICE, UPENN, UCR, San Jose State University",6,0,9
F,WHITE,FL,High,PUBLIC,NONE,CS,1410,3.5,4.7,[],[],[],NA,,,,0,0,0
M,ASIAN,IN,Low,PRIVATE,NONE,NA,1560,7.5,7.5,"['*NYU', '*UT-AUSTIN']",['*UMICH'],"['*NYU', '*UPENN', '*UT-AUSTIN']",NA,"NYU, UT-AUSTIN",UMICH,"NYU, UPENN, UT-AUSTIN",2,1,3
M,ASIAN,UT,Low,INTERNATIONAL,FIRST-GEN,CS,1410,3.5,7.8,[],[],"['*UCLA', '*NORTHWESTERN', '*COLUMBIA', '*CORNELL', '*BERKELEY', '*DARTMOUTH', '*NYU', '*BOSTON UNIVERSITY', '*BOSTON COLLEGE']",NA,,,"UCLA, NORTHWESTERN, COLUMBIA, CORNELL, BERKELEY, DARTMOUTH, NYU, BOSTON UNIVERSITY, BOSTON COLLEGE",0,0,9
M,ASIAN,NY,Low,PUBLIC,FIRST-GEN,CHEMISTRY,1550,3,6.7,"['*BROWN', '*CASE WESTERN']",[],[],NA,"BROWN, CASE WESTERN",,,2,0,0
M,ASIAN,TX,Low,PUBLIC,NONE,CS,1470,6.5,4.5,"['*UW MADISON', '*ARIZONA STATE']",['*UNC CHAPEL HILL'],"['*PRINCETON', '*GEORGIA TECH', '*UIUC', '*UT-AUSTIN']",NA,"UW MADISON, ARIZONA STATE",UNC CHAPEL HILL,"PRINCETON, GEORGIA TECH, UIUC, UT-AUSTIN",2,1,4
F,ASIAN,IA,High,NA,NONE,PSYCH,1520,3,4.5,"['*RUTGERS', '*San Jose State University']",[],"['*YALE', '*DUKE']",NA,"RUTGERS, San Jose State University",,"YALE, DUKE",2,0,2
M,WHITE,INTERNATIONAL,Low,PRIVATE,NONE,CS,1550,5.5,6.5,['*UCHICAGO'],"['*BROWN', '*COLUMBIA', '*CORNELL']","['*HARVARD', '*YALE', '*STANFORD', '*PRINCETON', '*MIT', '*DARTMOUTH', '*UPENN']",NA,UCHICAGO,"BROWN, COLUMBIA, CORNELL","HARVARD, YALE, STANFORD, PRINCETON, MIT, DARTMOUTH, UPENN",1,3,7
F,BLACK,VA,Low,NA,URM,PSYCH,1370,5,6.5,[],[],"['*NORTHWESTERN', '*USC', '*NORTHEASTERN']",NA,,,"NORTHWESTERN, USC, NORTHEASTERN",0,0,3
F,ASIAN,PA,High,PUBLIC,LEGACY,CS,1500,6.5,4.5,"['*UCSD', '*NYU', '*USC', '*BOSTON UNIVERSITY']","['*CMU', '*UPENN']","['*UCLA', '*NORTHWESTERN', '*MIT', '*TUFTS']",NA,"UCSD, NYU, USC, BOSTON UNIVERSITY","CMU, UPENN","UCLA, NORTHWESTERN, MIT, TUFTS",4,2,4
F,WHITE,IN,Low,PRIVATE,URM,BUSINESS,1360,6.5,6.5,"['*CORNELL', '*FORDHAM']",[],"['*NYU', '*NORTHEASTERN', '*COLGATE', '*TUFTS']",NA,"CORNELL, FORDHAM",,"NYU, NORTHEASTERN, COLGATE, TUFTS",2,0,4
F,BLACK,CA,Low,PUBLIC,NONE,CS,1360,2,2.5,['*UCLA'],['*UCSD'],['*UCI'],NA,UCLA,UCSD,UCI,1,1,1
M,ASIAN,OR,High,PRIVATE,NONE,CS,1530,8.5,7.2,[],['*HARVARD'],"['*UCLA', '*YALE', '*BROWN', '*STANFORD', '*NORTHWESTERN', '*COLUMBIA', '*CORNELL', '*BERKELEY', '*PRINCETON', '*CALTECH', '*NYU', '*UPENN', '*TUFTS']",NA,,HARVARD,"UCLA, YALE, BROWN, STANFORD, NORTHWESTERN, COLUMBIA, CORNELL, BERKELEY, PRINCETON, CALTECH, NYU, UPENN, TUFTS",0,1,13
M,WHITE,MA,Low,NA,NONE,MUSIC,1110,6.5,2.5,['*NORTHEASTERN'],[],['*NYU'],NA,NORTHEASTERN,,NYU,1,0,1
F,ASIAN,CA,High,PUBLIC,LEGACY,BIO,1340,3.5,2.5,"['*UCLA', '*UCSD', '*POMONA', '*UCR']",[],['*UCLA'],NA,"UCLA, UCSD, POMONA, UCR",,UCLA,4,0,1
M,ASIAN,CA,Low,PUBLIC,NONE,ENG,1410,1,4.5,[],['*UCI'],['*UCLA'],NA,,UCI,UCLA,0,1,1
M,ASIAN,TX,High,NA,NONE,HISTORY,1490,6.5,3.5,"['*RICE', '*UCHICAGO', '*CLAREMONT MCKENNA', '*TAMU']",[],['*UT-AUSTIN'],NA,"RICE, UCHICAGO, CLAREMONT MCKENNA, TAMU",,UT-AUSTIN,4,0,1
F,WHITE,CA,High,PUBLIC,NONE,POLISCI,1500,5.5,6.5,"['*WILLIAMS', '*UMICH']",[],[],NA,"WILLIAMS, UMICH",,,2,0,0
M,WHITE,INTERNATIONAL,High,PRIVATE,NONE,ENG,1320,5,8.2,"['*UCSD', '*UCSC']",['*UCSD'],[],NA,"UCSD, UCSC",UCSD,,2,1,0
F,ASIAN,PA,Low,PUBLIC,NONE,CS,1570,3.5,1.5,"['*UCD', '*UIUC', '*UT-DALLAS', '*NORTHEASTERN', '*UW MADISON', '*UCI']",[],"['*BERKELEY', '*UMICH', '*TULANE']",NA,"UCD, UIUC, UT-DALLAS, NORTHEASTERN, UW MADISON, UCI",,"BERKELEY, UMICH, TULANE",6,0,3
F,WHITE,IL,Low,PUBLIC,NONE,BIO,1430,3.5,7.3,"['*PURDUE', '*CASE WESTERN', '*UW MADISON']",[],[],NA,"PURDUE, CASE WESTERN, UW MADISON",,,3,0,0
M,ASIAN,CA,Low,NA,NONE,BUSINESS,1250,2,2.5,['*ARIZONA STATE'],[],['*UCLA'],NA,ARIZONA STATE,,UCLA,1,0,1
M,ARAB,IA,Middle,PRIVATE,NONE,CS,1320,7.5,2.5,"['*BERKELEY', '*UCSC']","['*RICE', '*UCI']","['*UCLA', '*CORNELL', '*NYU']",NA,"BERKELEY, UCSC","RICE, UCI","UCLA, CORNELL, NYU",2,2,3
M,ASIAN,NA,Low,MAGNET,NONE,CS,1550,6.5,3.5,[],[],"['*NORTHWESTERN', '*CORNELL', '*VANDERBILT', '*FORDHAM']",NA,,,"NORTHWESTERN, CORNELL, VANDERBILT, FORDHAM",0,0,4
F,WHITE,NA,High,NA,NONE,NA,1290,5,5.5,[],['*COLGATE'],[],NA,,COLGATE,,0,1,0
M,ARAB,INTERNATIONAL,Low,PRIVATE,FIRST-GEN,ENVIRONMENTAL STUDIES,1320,6.5,4.2,[],[],"['*HARVARD', '*YALE', '*JOHNS HOPKINS', '*DARTMOUTH', '*EMORY']",NA,,,"HARVARD, YALE, JOHNS HOPKINS, DARTMOUTH, EMORY",0,0,5
F,ASIAN,GA,Low,PUBLIC,FIRST-GEN,CS,1540,5.5,3.5,"['*BERKELEY', '*UCSD', '*USC', '*UCR']","['*UCLA', '*UCI']",[],NA,"BERKELEY, UCSD, USC, UCR","UCLA, UCI",,4,2,0
M,ASIAN,CA,Low,PUBLIC,NONE,ENG,1510,5,3.5,"['*UCSD', '*POMONA', '*UPENN', '*San Jose State University']","['*UCSD', '*UCSB', '*UCD', '*UCSC', '*VIRGINIA TECH', '*UVA']","['*UCLA', '*NORTHWESTERN', '*BERKELEY', '*GEORGIA TECH', '*CMU', '*PURDUE', '*UPENN', '*UMICH', '*USC', '*UIUC', '*UCI']",NA,"UCSD, POMONA, UPENN, San Jose State University","UCSD, UCSB, UCD, UCSC, VIRGINIA TECH, UVA","UCLA, NORTHWESTERN, BERKELEY, GEORGIA TECH, CMU, PURDUE, UPENN, UMICH, USC, UIUC, UCI",4,6,11
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1600,5,0,"['*PURDUE', '*UCD', '*San Jose State University', '*UW MADISON', '*ARIZONA STATE']","['*UMICH', '*UCI']","['*UCLA', '*GEORGIA TECH', '*PURDUE', '*UCD', '*UIUC', '*NORTHEASTERN']",NA,"PURDUE, UCD, San Jose State University, UW MADISON, ARIZONA STATE","UMICH, UCI","UCLA, GEORGIA TECH, PURDUE, UCD, UIUC, NORTHEASTERN",5,2,6
F,ASIAN,CA,High,PUBLIC,FIRST-GEN,BIO,1540,2.5,4.5,"['*UCLA', '*USC', '*UCI']",[],[],NA,"UCLA, USC, UCI",,,3,0,0
M,WHITE,GA,Low,PRIVATE,URM,CS,1600,6.5,7.5,['*NORTHWESTERN'],[],['*UMICH'],NA,NORTHWESTERN,,UMICH,1,0,1
F,WHITE,LA,NA,PUBLIC,LEGACY,CS,1430,6.5,7.5,[],[],[],NA,,,,0,0,0
M,ASIAN,DC,Low,PUBLIC,NONE,CS,1580,6.5,6.5,['*UPENN'],[],"['*HARVARD', '*MIT', '*BOSTON UNIVERSITY']",NA,UPENN,,"HARVARD, MIT, BOSTON UNIVERSITY",1,0,3
M,WHITE,CO,Low,NA,NONE,BUSINESS,1460,4.5,4.5,[],[],"['*NYU', '*UPENN', '*VIRGINIA TECH', '*UVA']",NA,,,"NYU, UPENN, VIRGINIA TECH, UVA",0,0,4
F,HISPANIC,NA,Low,PUBLIC,URM,NA,1300,5,6.8,"['*MIT', '*RUTGERS']",[],"['*CORNELL', '*VANDERBILT', '*NYU']",NA,"MIT, RUTGERS",,"CORNELL, VANDERBILT, NYU",2,0,3
M,ASIAN,CA,Low,PUBLIC,NONE,ENG,1460,1,4.2,"['*UCLA', '*BERKELEY', '*UCSD', '*UCSB', '*UT-AUSTIN']",['*GEORGIA TECH'],"['*STANFORD', '*CORNELL']",NA,"UCLA, BERKELEY, UCSD, UCSB, UT-AUSTIN",GEORGIA TECH,"STANFORD, CORNELL",5,1,2
M,WHITE,OR,Middle,PUBLIC,NONE,BUSINESS,1540,2.5,8.7,[],"['*UMICH', '*BOSTON COLLEGE', '*NORTHEASTERN']","['*VANDERBILT', '*NYU', '*BOSTON UNIVERSITY', '*UVA']",NA,,"UMICH, BOSTON COLLEGE, NORTHEASTERN","VANDERBILT, NYU, BOSTON UNIVERSITY, UVA",0,3,4
F,BLACK,CA,Low,PRIVATE,URM,BUSINESS,1480,10,3.5,"['*DUKE', '*CASE WESTERN', '*UNC CHAPEL HILL']",[],"['*WILLIAMS', '*VANDERBILT', '*BOSTON UNIVERSITY', '*WASHU', '*COLGATE']",NA,"DUKE, CASE WESTERN, UNC CHAPEL HILL",,"WILLIAMS, VANDERBILT, BOSTON UNIVERSITY, WASHU, COLGATE",3,0,5
F,HISPANIC,CA,Low,PUBLIC,URM,ENG,1530,3,7.2,"['*NORTHWESTERN', '*UCSD', '*San Jose State University', '*UCHICAGO']","['*UCLA', '*UCSD', '*UCD']",['*UCSB'],NA,"NORTHWESTERN, UCSD, San Jose State University, UCHICAGO","UCLA, UCSD, UCD",UCSB,4,3,1
M,WHITE,WA,NA,PUBLIC,NONE,CS,1530,6.5,6.5,"['*BOSTON COLLEGE', '*NORTHEASTERN']","['*GEORGIA TECH', '*VANDERBILT', '*UMICH', '*EMORY', '*UIUC']","['*NORTHWESTERN', '*CORNELL', '*DUKE', '*CMU', '*NYU', '*UPENN', '*WASHU', '*UT-AUSTIN', '*UVA']",NA,"BOSTON COLLEGE, NORTHEASTERN","GEORGIA TECH, VANDERBILT, UMICH, EMORY, UIUC","NORTHWESTERN, CORNELL, DUKE, CMU, NYU, UPENN, WASHU, UT-AUSTIN, UVA",2,5,9
M,WHITE,AL,Low,PRIVATE,LEGACY,BUSINESS,1480,5.5,7.5,"['*FORDHAM', '*RUTGERS']",[],"['*NORTHWESTERN', '*PRINCETON', '*POMONA', '*NYU', '*EMORY', '*BOSTON UNIVERSITY', '*BOSTON COLLEGE', '*NORTHEASTERN', '*TUFTS']",NA,"FORDHAM, RUTGERS",,"NORTHWESTERN, PRINCETON, POMONA, NYU, EMORY, BOSTON UNIVERSITY, BOSTON COLLEGE, NORTHEASTERN, TUFTS",2,0,9
M,ASIAN,NA,High,PUBLIC,NONE,MATH,1510,3,2.5,"['*UCSD', '*PURDUE', '*UCD', '*UCSC', '*UCR']","['*UMICH', '*NORTHEASTERN']","['*BERKELEY', '*TUFTS']",NA,"UCSD, PURDUE, UCD, UCSC, UCR","UMICH, NORTHEASTERN","BERKELEY, TUFTS",5,2,2
F,HISPANIC,TX,Middle,PUBLIC,URM,CS,1520,7.5,4.5,"['*RICE', '*UT-AUSTIN', '*TAMU']",[],['*HARVARD'],NA,"RICE, UT-AUSTIN, TAMU",,HARVARD,3,0,1
F,ASIAN,AZ,Low,PUBLIC,NONE,NA,1390,6.5,4.5,"['*UCSD', '*PURDUE', '*UPENN', '*ARIZONA STATE']",[],['*BERKELEY'],NA,"UCSD, PURDUE, UPENN, ARIZONA STATE",,BERKELEY,4,0,1
F,NATIVE,WI,Low,NA,URM,NA,1420,6.5,2.5,"['*NYU', '*USC']","['*RICE', '*WASHU']","['*HARVARD', '*YALE', '*BROWN', '*STANFORD', '*DUKE', '*UCHICAGO']",NA,"NYU, USC","RICE, WASHU","HARVARD, YALE, BROWN, STANFORD, DUKE, UCHICAGO",2,2,6
F,ASIAN,CA,Low,PUBLIC,LEGACY,POLISCI,1540,6.5,6.5,"['*UCLA', '*BERKELEY', '*UCSD', '*UCSB', '*UCD', '*UCSC', '*UCR', '*TUFTS']",[],['*USC'],NA,"UCLA, BERKELEY, UCSD, UCSB, UCD, UCSC, UCR, TUFTS",,USC,8,0,1
F,NA,CA,High,NA,NONE,MATH,1560,6.5,8.5,"['*BERKELEY', '*GEORGIA TECH', '*BOSTON COLLEGE', '*VIRGINIA TECH', '*UVA']",['*HARVEY MUDD'],"['*UCSD', '*MIT', '*CALTECH', '*RICE', '*UCSB', '*UT-AUSTIN', '*UCI']",NA,"BERKELEY, GEORGIA TECH, BOSTON COLLEGE, VIRGINIA TECH, UVA",HARVEY MUDD,"UCSD, MIT, CALTECH, RICE, UCSB, UT-AUSTIN, UCI",5,1,7
F,ASIAN,NY,Low,PUBLIC,NONE,PREMED,1520,6.5,6.5,"['*FORDHAM', '*UVA']","['*DARTMOUTH', '*BOSTON COLLEGE']","['*NORTHWESTERN', '*CORNELL', '*BOSTON UNIVERSITY', '*TUFTS']",NA,"FORDHAM, UVA","DARTMOUTH, BOSTON COLLEGE","NORTHWESTERN, CORNELL, BOSTON UNIVERSITY, TUFTS",2,2,4
M,ASIAN,USA,Low,PUBLIC,NONE,NEUROSCIENCE,1510,6.5,8.5,"['*CASE WESTERN', '*UIUC']","['*SWARTHMORE', '*RICE']","['*YALE', '*BROWN', '*NORTHWESTERN', '*WILLIAMS', '*VANDERBILT', '*WASHU', '*NORTHEASTERN', '*TUFTS']",NA,"CASE WESTERN, UIUC","SWARTHMORE, RICE","YALE, BROWN, NORTHWESTERN, WILLIAMS, VANDERBILT, WASHU, NORTHEASTERN, TUFTS",2,2,8
M,WHITE,FL,NA,PUBLIC,NONE,BUSINESS,1280,1,6.5,[],['*FORDHAM'],"['*RICE', '*NYU', '*UPENN']",NA,,FORDHAM,"RICE, NYU, UPENN",0,1,3
F,WHITE,GA,High,PUBLIC,LGBT,MEDIA STUDIES,1200,3.5,2.5,"['*COLUMBIA', '*FORDHAM']",['*UMICH'],"['*NYU', '*BOSTON UNIVERSITY']",NA,"COLUMBIA, FORDHAM",UMICH,"NYU, BOSTON UNIVERSITY",2,1,2
M,ASIAN,PA,Low,NA,NONE,CS,1590,5,2.5,"['*UCSD', '*NYU', '*UPENN', '*NORTHEASTERN']","['*CMU', '*UMICH', '*UIUC']","['*UCLA', '*CORNELL', '*BERKELEY', '*USC']",NA,"UCSD, NYU, UPENN, NORTHEASTERN","CMU, UMICH, UIUC","UCLA, CORNELL, BERKELEY, USC",4,3,4
F,ASIAN,CO,Low,PUBLIC,NONE,CS,1580,2,4.5,[],[],"['*BOSTON UNIVERSITY', '*NORTHEASTERN']",NA,,,"BOSTON UNIVERSITY, NORTHEASTERN",0,0,2
F,WHITE,CA,Low,PUBLIC,NONE,CS,1540,6.5,6.2,"['*UCSD', '*POMONA', '*UCSB', '*UCD', '*UCSC', '*UCR', '*UIUC', '*San Jose State University', '*ARIZONA STATE', '*UCM']","['*UCSD', '*UCI']","['*UCLA', '*HARVARD', '*YALE', '*STANFORD', '*BERKELEY', '*UCSB', '*UCD']",NA,"UCSD, POMONA, UCSB, UCD, UCSC, UCR, UIUC, San Jose State University, ARIZONA STATE, UCM","UCSD, UCI","UCLA, HARVARD, YALE, STANFORD, BERKELEY, UCSB, UCD",10,2,7
M,WHITE,FL,Low,PUBLIC,NONE,BUSINESS,1450,5.5,6.3,[],"['*EMORY', '*WASHU']","['*NORTHWESTERN', '*CORNELL', '*DUKE', '*VANDERBILT']",NA,,"EMORY, WASHU","NORTHWESTERN, CORNELL, DUKE, VANDERBILT",0,2,4
F,WHITE,CA,Low,NA,NONE,BIO,1510,7,5,"['*UCLA', '*BERKELEY', '*DUKE', '*EMORY', '*UCD']","['*UCSD', '*UCSB', '*UVA']","['*NORTHWESTERN', '*DUKE', '*RICE', '*VANDERBILT', '*NYU', '*UMICH', '*WASHU', '*TUFTS', '*UCI']",NA,"UCLA, BERKELEY, DUKE, EMORY, UCD","UCSD, UCSB, UVA","NORTHWESTERN, DUKE, RICE, VANDERBILT, NYU, UMICH, WASHU, TUFTS, UCI",5,3,9
M,ASIAN,IN,High,PRIVATE,LEGACY,CS,1470,7.5,6.5,"['*RICE', '*UPENN']",[],"['*NORTHWESTERN', '*CORNELL', '*MIT', '*SWARTHMORE', '*VANDERBILT', '*UMICH', '*UIUC', '*NORTHEASTERN', '*TUFTS']",NA,"RICE, UPENN",,"NORTHWESTERN, CORNELL, MIT, SWARTHMORE, VANDERBILT, UMICH, UIUC, NORTHEASTERN, TUFTS",2,0,9
NB,WHITE,IN,Low,PUBLIC,NONE,SOCIAL SCIENCES,1460,6.5,7.2,['*MIT'],[],"['*DARTMOUTH', '*COLGATE']",NA,MIT,,"DARTMOUTH, COLGATE",1,0,2
F,WHITE,PA,Low,PUBLIC,NONE,ENG,1410,7.5,4.5,[],"['*UMICH', '*EMORY', '*TULANE']","['*DUKE', '*CMU', '*RICE', '*UNC CHAPEL HILL']",NA,,"UMICH, EMORY, TULANE","DUKE, CMU, RICE, UNC CHAPEL HILL",0,3,4
M,ASIAN,CA,High,PUBLIC,NONE,CS,1500,6.5,7.8,"['*PURDUE', '*UCSB', '*UCD', '*UIUC', '*BOSTON UNIVERSITY', '*San Jose State University', '*UVA']","['*UCLA', '*GEORGIA TECH', '*UMICH', '*NORTHEASTERN', '*UCI']","['*NORTHWESTERN', '*CORNELL', '*BERKELEY', '*DUKE', '*DARTMOUTH', '*CMU', '*RICE', '*UPENN']",NA,"PURDUE, UCSB, UCD, UIUC, BOSTON UNIVERSITY, San Jose State University, UVA","UCLA, GEORGIA TECH, UMICH, NORTHEASTERN, UCI","NORTHWESTERN, CORNELL, BERKELEY, DUKE, DARTMOUTH, CMU, RICE, UPENN",7,5,8
