student_id,gender,race,residence,income,school_type,hooks,major,sat,ec_awards,essay_lor_interview,target_college,accepted
37,F,ASIAN,NY,Low,PUBLIC,NONE,CS,1600,6.5,7.5,CASE WESTERN,1
37,F,ASIAN,NY,Low,PUBLIC,NONE,CS,1600,6.5,7.5,UCHICAGO,1
37,F,ASIAN,NY,Low,PUBLIC,NONE,CS,1600,6.5,7.5,ARIZONA STATE,1
39,M,WHITE,CA,Low,PUBLIC,NONE,CS,1460,3.5,2.5,UCD,1
39,M,WHITE,CA,Low,PUBLIC,NONE,CS,1460,3.5,2.5,ARIZONA STATE,1
41,M,ASIAN,IL,Low,PUBLIC,NONE,ENG,1400,5,4.5,PURDUE,1
41,M,ASIAN,IL,Low,PUBLIC,NONE,ENG,1400,5,4.5,UPENN,1
41,M,ASIAN,IL,Low,PUBLIC,NONE,ENG,1400,5,4.5,UIUC,1
41,M,ASIAN,IL,Low,PUBLIC,NONE,ENG,1400,5,4.5,VIRGINIA TECH,1
41,M,ASIAN,IL,Low,PUBLIC,NONE,ENG,1400,5,4.5,UVA,1
42,M,ASIAN,OR,Low,PUBLIC,FIRST-GEN,CS,1530,3.5,3.7,HARVARD,1
42,M,ASIAN,OR,Low,PUBLIC,FIRST-GEN,CS,1530,3.5,3.7,YALE,1
42,M,ASIAN,OR,Low,PUBLIC,FIRST-GEN,CS,1530,3.5,3.7,STANFORD,1
42,M,ASIAN,OR,Low,PUBLIC,FIRST-GEN,CS,1530,3.5,3.7,COLUMBIA,1
42,M,ASIAN,OR,Low,PUBLIC,FIRST-GEN,CS,1530,3.5,3.7,PRINCETON,1
42,M,ASIAN,OR,Low,PUBLIC,FIRST-GEN,CS,1530,3.5,3.7,MIT,1
42,M,ASIAN,OR,Low,PUBLIC,FIRST-GEN,CS,1530,3.5,3.7,CALTECH,1
42,M,ASIAN,OR,Low,PUBLIC,FIRST-GEN,CS,1530,3.5,3.7,JOHNS HOPKINS,1
42,M,ASIAN,OR,Low,PUBLIC,FIRST-GEN,CS,1530,3.5,3.7,NORTHEASTERN,1
43,F,BLACK,NY,Low,PUBLIC,URM,ENG,1390,5.5,4.2,FORDHAM,1
51,F,WHITE,OR,Low,SMALL,FIRST-GEN,DESIGN,1410,2,4.5,UPENN,1
53,F,ASIAN,CA,High,PRIVATE,NONE,CHEMISTRY,1560,6.5,2.5,CMU,1
53,F,ASIAN,CA,High,PRIVATE,NONE,CHEMISTRY,1560,6.5,2.5,PURDUE,1
53,F,ASIAN,CA,High,PRIVATE,NONE,CHEMISTRY,1560,6.5,2.5,UCSB,1
53,F,ASIAN,CA,High,PRIVATE,NONE,CHEMISTRY,1560,6.5,2.5,UCD,1
53,F,ASIAN,CA,High,PRIVATE,NONE,CHEMISTRY,1560,6.5,2.5,UIUC,1
57,M,BLACK,CO,High,PUBLIC,URM,PREMED,1370,6.5,3.5,NORTHWESTERN,1
57,M,BLACK,CO,High,PUBLIC,URM,PREMED,1370,6.5,3.5,CORNELL,1
57,M,BLACK,CO,High,PUBLIC,URM,PREMED,1370,6.5,3.5,VANDERBILT,1
57,M,BLACK,CO,High,PUBLIC,URM,PREMED,1370,6.5,3.5,EMORY,1
57,M,BLACK,CO,High,PUBLIC,URM,PREMED,1370,6.5,3.5,CASE WESTERN,1
57,M,BLACK,CO,High,PUBLIC,URM,PREMED,1370,6.5,3.5,USC,1
59,M,WHITE,IL,High,PUBLIC,NONE,CS,1530,5,7,PURDUE,1
59,M,WHITE,IL,High,PUBLIC,NONE,CS,1530,5,7,UMICH,1
59,M,WHITE,IL,High,PUBLIC,NONE,CS,1530,5,7,UW MADISON,1
59,M,WHITE,IL,High,PUBLIC,NONE,CS,1530,5,7,ARIZONA STATE,1
61,F,WHITE,TX,Low,PUBLIC,URM,CS,1420,5.5,4.5,CORNELL,1
61,F,WHITE,TX,Low,PUBLIC,URM,CS,1420,5.5,4.5,CMU,1
61,F,WHITE,TX,Low,PUBLIC,URM,CS,1420,5.5,4.5,UT-AUSTIN,1
61,F,WHITE,TX,Low,PUBLIC,URM,CS,1420,5.5,4.5,NORTHEASTERN,1
62,F,ARAB,OR,High,PUBLIC,LEGACY,BUSINESS,1430,5.5,7.5,UCLA,1
62,F,ARAB,OR,High,PUBLIC,LEGACY,BUSINESS,1430,5.5,7.5,BERKELEY,1
62,F,ARAB,OR,High,PUBLIC,LEGACY,BUSINESS,1430,5.5,7.5,DUKE,1
62,F,ARAB,OR,High,PUBLIC,LEGACY,BUSINESS,1430,5.5,7.5,UPENN,1
62,F,ARAB,OR,High,PUBLIC,LEGACY,BUSINESS,1430,5.5,7.5,UIUC,1
62,F,ARAB,OR,High,PUBLIC,LEGACY,BUSINESS,1430,5.5,7.5,NORTHEASTERN,1
62,F,ARAB,OR,High,PUBLIC,LEGACY,BUSINESS,1430,5.5,7.5,UNC CHAPEL HILL,1
63,M,ASIAN,GA,Low,PUBLIC,FIRST-GEN,CS,1530,3.5,4.2,CALTECH,1
64,M,ASIAN,CA,Low,PUBLIC,FIRST-GEN,ENG,1460,6.5,4.2,UCSD,1
64,M,ASIAN,CA,Low,PUBLIC,FIRST-GEN,ENG,1460,6.5,4.2,JOHNS HOPKINS,1
64,M,ASIAN,CA,Low,PUBLIC,FIRST-GEN,ENG,1460,6.5,4.2,POMONA,1
64,M,ASIAN,CA,Low,PUBLIC,FIRST-GEN,ENG,1460,6.5,4.2,UCSB,1
64,M,ASIAN,CA,Low,PUBLIC,FIRST-GEN,ENG,1460,6.5,4.2,UCI,1
66,M,WHITE,CA,High,PUBLIC,LEGACY,CS,1480,5,4.7,USC,1
66,M,WHITE,CA,High,PUBLIC,LEGACY,CS,1480,5,4.7,UIUC,1
66,M,WHITE,CA,High,PUBLIC,LEGACY,CS,1480,5,4.7,UW MADISON,1
67,M,HISPANIC,MA,High,PUBLIC,URM,ENG,1520,4.5,6.5,BOSTON UNIVERSITY,1
68,M,ASIAN,CA,High,PUBLIC,NONE,CS,1580,8.5,4.5,BERKELEY,1
73,M,ASIAN,MA,High,PUBLIC,NONE,CS,1560,6.5,6.5,PURDUE,1
73,M,ASIAN,MA,High,PUBLIC,NONE,CS,1560,6.5,6.5,NYU,1
74,F,ASIAN,OR,High,PUBLIC,NONE,ENG,1560,6.5,4.5,CORNELL,1
74,F,ASIAN,OR,High,PUBLIC,NONE,ENG,1560,6.5,4.5,CASE WESTERN,1
74,F,ASIAN,OR,High,PUBLIC,NONE,ENG,1560,6.5,4.5,UVA,1
