Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Acceptances,Waitlists,Rejections,Note
F,BLACK,MO,Low,PUBLIC,URM,CS,1420,6.5,7.5,"['*RICE', '*EMORY', '*USC', '*TUFTS']","['*NORTHWESTERN', '*WILLIAMS', '*COLGATE']","['*BROWN', '*COLUMBIA', '*DUKE', '*PRINCETON', '*DARTMOUTH', '*POMONA']",
F,WHITE,MI,High,PUBLIC,NONE,BUSINESS,1190,1,4.5,['*USC'],[],[],
M,ASIAN,OR,High,PUBLIC,NONE,BIO,1410,5.5,7.5,"['*MIT', '*UPENN']",[],"['*HARVARD', '*GEORGIA TECH', '*SWARTHMORE', '*COLGATE', '*TULANE', '*UVA']",
M,ASIAN,-1,Middle,PUBLIC,NONE,CS,1330,2.5,5.7,"['*PURDUE', '*UIUC', '*RUTGERS', '*VIRGINIA TECH', '*NORTHEASTERN', '*UVA']",['*UMICH'],"['*CORNELL', '*GEORGIA TECH', '*NYU']",
F,HISPANIC,CA,High,PUBLIC,NONE,NEUROSCIENCE,1380,7.5,6.5,"['*USC', '*HARVEY MUDD']",[],['*DUKE'],
F,ASIAN,NY,High,PUBLIC,NONE,HISTORY,1590,6.5,8.1,"['*CORNELL', '*NYU', '*EMORY', '*BOSTON UNIVERSITY', '*NORTHEASTERN', '*UNC CHAPEL HILL', '*UVA']",[],"['*HARVARD', '*YALE', '*COLUMBIA']",
F,ASIAN,NY,Low,PUBLIC,NONE,CS,1600,6.5,7.5,"['*UMICH', '*CASE WESTERN', '*UCHICAGO', '*ARIZONA STATE']",[],"['*HARVARD', '*YALE', '*BROWN', '*NORTHWESTERN', '*CORNELL', '*PRINCETON', '*JOHNS HOPKINS', '*SWARTHMORE', '*RICE', '*POMONA', '*NYU', '*UPENN', '*EMORY', '*BOSTON UNIVERSITY']",
M,ASIAN,MI,High,PUBLIC,NONE,-1,1530,7.5,4.5,['*CORNELL'],[],[],
M,WHITE,CA,Low,PUBLIC,NONE,CS,1460,3.5,2.5,"['*UCD', '*ARIZONA STATE']","['*UCSC', '*UIUC']","['*UCLA', '*BERKELEY', '*UCSD', '*CALTECH', '*UCSB', '*UCI']",
M,ASIAN,INTERNATIONAL,High,PRIVATE,NONE,CS,1570,4.5,3.7,[],"['*NORTHWESTERN', '*CMU']",['*CMU'],
M,ASIAN,IL,Low,PUBLIC,NONE,ENG,1400,5,4.5,"['*PURDUE', '*UPENN', '*UIUC', '*VIRGINIA TECH', '*UVA']",[],[],
M,ASIAN,OR,Low,PUBLIC,FIRST-GEN,CS,1530,3.5,3.7,"['*HARVARD', '*YALE', '*STANFORD', '*COLUMBIA', '*PRINCETON', '*MIT', '*CALTECH', '*JOHNS HOPKINS', '*NORTHEASTERN']",['*CASE WESTERN'],['*NORTHWESTERN'],
F,BLACK,NY,Low,PUBLIC,URM,ENG,1390,5.5,4.2,['*FORDHAM'],['*NORTHEASTERN'],"['*POMONA', '*NYU', '*USC', '*TUFTS']",
M,WHITE,INTERNATIONAL,Low,PRIVATE,FIRST-GEN,CS,1540,6.5,7.2,[],[],"['*HARVARD', '*NORTHWESTERN', '*CORNELL']",
M,WHITE,CA,High,PUBLIC,NONE,-1,1470,6.5,7.5,"['*UCLA', '*UCSB', '*BOSTON COLLEGE', '*NORTHEASTERN', '*UCI']","['*WASHU', '*CLAREMONT MCKENNA']","['*HARVARD', '*BROWN', '*STANFORD', '*BERKELEY', '*POMONA']",
F,WHITE,-1,Low,PUBLIC,FIRST-GEN,MEDIA STUDIES,1420,5,6.5,"['*UPENN', '*FORDHAM']",['*NYU'],['*COLUMBIA'],
M,BLACK,GA,High,PUBLIC,URM,BUSINESS,1380,2.5,5.5,[],['*GEORGIA TECH'],"['*HARVARD', '*COLUMBIA', '*UPENN']",
M,ASIAN,IL,Low,-1,NONE,PSYCH,1470,6.5,3.5,[],"['*GEORGIA TECH', '*NORTHEASTERN', '*UCI']","['*UCLA', '*NORTHWESTERN', '*VANDERBILT', '*UCSC']",
F,WHITE,CA,High,-1,URM,BIO,1080,3.5,1.5,"['*UCLA', '*UCSD', '*UCSB', '*UCR', '*UCI']",[],[],
