Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Acceptances,Waitlists,Rejections,Note
M,ASIAN,NY,Low,PUBLIC,FIRST-GEN,CS,1430,6,8.1,['*UMICH'],"['*NORTHWESTERN', '*UCSD', '*UCD']","['*UCLA', '*YALE', '*COLUMBIA', '*CORNELL', '*BERKELEY', '*PRINCETON', '*MIT', '*GEORGIA TECH', '*CMU', '*VANDERBILT', '*EMORY', '*BOSTON UNIVERSITY', '*NORTHEASTERN', '*TUFTS', '*UCHICAGO']",
M,WHITE,CO,Low,-1,NONE,CS,1540,6.5,6.5,[],[],"['*HARVARD', '*YALE', '*COLUMBIA', '*DUKE', '*PRINCETON', '*RICE', '*UPENN']",
F,ASIAN,CA,Low,-1,NONE,CS,1530,6.5,3.75,"['*UCLA', '*UCSD', '*UIUC']","['*GEORGIA TECH', '*CMU', '*UCD', '*UCI']","['*MIT', '*CALTECH', '*NYU']",
M,ASIAN,IN,Low,PRIVATE,NONE,-1,1550,7.5,8.3,"['*UMICH', '*BOSTON COLLEGE', '*FORDHAM']","['*UPENN', '*WASHU']","['*HARVARD', '*YALE', '*BROWN', '*NORTHWESTERN', '*VANDERBILT']",
M,WHITE,CA,Low,PUBLIC,LEGACY,ENG,1550,7.5,6.8,"['*UCLA', '*BERKELEY', '*UCSD', '*NORTHEASTERN']","['*HARVARD', '*CORNELL', '*UMICH', '*UCSB', '*UCI']","['*STANFORD', '*COLUMBIA', '*PRINCETON', '*JOHNS HOPKINS', '*DARTMOUTH', '*UPENN']",
F,WHITE,CA,High,PUBLIC,NONE,ENG,1560,6.5,2.5,['*ARIZONA STATE'],"['*CORNELL', '*UCI']","['*BERKELEY', '*MIT', '*CALTECH']",
F,WHITE,-1,High,PUBLIC,LEGACY,POLISCI,1540,6.5,6.5,"['*SWARTHMORE', '*UNC CHAPEL HILL']",['*HARVARD'],"['*BROWN', '*PRINCETON', '*SWARTHMORE', '*UPENN']",
F,ASIAN,IN,Low,PRIVATE,LEGACY,POLISCI,1480,6.5,1.5,"['*UCSD', '*UCD']","['*UCLA', '*UMICH', '*BOSTON UNIVERSITY', '*UCI']","['*YALE', '*CORNELL', '*BERKELEY', '*NYU', '*USC', '*UCSB']",
M,WHITE,-1,Low,PUBLIC,NONE,HUMANITIES,1540,5.5,6.1,"['*RICE', '*UIUC', '*BOSTON COLLEGE', '*ARIZONA STATE']",['*EMORY'],"['*HARVARD', '*YALE', '*BROWN', '*STANFORD', '*NORTHWESTERN', '*COLUMBIA', '*DUKE', '*PRINCETON', '*RICE']",
F,ASIAN,IL,Low,PUBLIC,NONE,BIO,1440,5.5,6.5,"['*CORNELL', '*PURDUE', '*UMICH', '*USC', '*UIUC']",['*EMORY'],"['*NYU', '*WASHU', '*NORTHEASTERN']",
F,ASIAN,NY,Low,PUBLIC,FIRST-GEN,HEALTH SCIENCES,1520,6,4.5,['*UMICH'],['*BOSTON COLLEGE'],"['*CORNELL', '*JOHNS HOPKINS', '*EMORY', '*CASE WESTERN', '*BOSTON UNIVERSITY', '*NORTHEASTERN', '*COLGATE', '*TUFTS']",
F,ASIAN,CO,Low,PUBLIC,NONE,-1,1550,6.5,4.5,"['*UCLA', '*CORNELL', '*NYU', '*UPENN', '*UIUC']","['*JOHNS HOPKINS', '*RICE', '*UMICH', '*UCHICAGO']","['*HARVARD', '*YALE', '*STANFORD', '*NORTHWESTERN', '*COLUMBIA', '*BERKELEY', '*DUKE', '*PRINCETON']",
F,HISPANIC,FL,Low,PUBLIC,URM,CS,1540,5.5,8.7,"['*GEORGIA TECH', '*JOHNS HOPKINS']","['*COLUMBIA', '*CORNELL', '*DUKE']","['*HARVARD', '*YALE', '*BROWN', '*STANFORD', '*PRINCETON', '*CALTECH', '*GEORGIA TECH', '*DARTMOUTH', '*CMU']",
M,HISPANIC,TN,High,PUBLIC,NONE,PREMED,1480,6.5,6.8,"['*BERKELEY', '*CMU', '*UMICH', '*EMORY', '*CASE WESTERN', '*WASHU']","['*UCLA', '*CORNELL', '*DUKE', '*WILLIAMS', '*VANDERBILT', '*UVA']","['*YALE', '*BROWN', '*STANFORD', '*NORTHWESTERN', '*JOHNS HOPKINS', '*SWARTHMORE', '*RICE', '*UPENN']",
M,BLACK,-1,Middle,-1,URM,CS,1510,7.5,2.5,"['*YALE', '*COLUMBIA', '*CORNELL', '*PRINCETON', '*CALTECH', '*SWARTHMORE', '*RICE', '*POMONA', '*WILLIAMS', '*NYU', '*UPENN', '*EMORY', '*BOSTON UNIVERSITY', '*BOSTON COLLEGE', '*UCHICAGO', '*CLAREMONT MCKENNA']",['*HARVARD'],['*STANFORD'],
F,WHITE,OR,Low,PUBLIC,NONE,ENG,1450,6.5,4.5,['*UPENN'],['*TUFTS'],"['*HARVARD', '*UPENN', '*TUFTS']",
M,BLACK,CA,Low,PUBLIC,URM,CS,1490,8.5,4.5,"['*BROWN', '*COLUMBIA', '*CORNELL', '*DUKE', '*PRINCETON', '*GEORGIA TECH', '*DARTMOUTH', '*RICE', '*VANDERBILT', '*UPENN', '*UMICH']","['*HARVARD', '*YALE', '*CMU', '*UCHICAGO']","['*STANFORD', '*MIT', '*UNC CHAPEL HILL']",
F,HISPANIC,GA,Low,SMALL,FIRST-GEN,NEUROSCIENCE,1330,6.5,4.2,"['*NYU', '*EMORY', '*FORDHAM']","['*COLUMBIA', '*DUKE', '*COLGATE']","['*HARVARD', '*YALE', '*NORTHEASTERN']",
F,ASIAN,IL,High,PUBLIC,NONE,ENG,1560,6.5,3.5,"['*PURDUE', '*UIUC']","['*CORNELL', '*JOHNS HOPKINS', '*CMU', '*NORTHEASTERN']","['*UCLA', '*NORTHWESTERN', '*BERKELEY', '*MIT', '*UPENN', '*UIUC']",
M,ASIAN,MA,High,PRIVATE,NONE,ENG,1540,3.5,4.5,"['*BOSTON UNIVERSITY', '*BOSTON COLLEGE', '*NORTHEASTERN', '*TUFTS']","['*HARVARD', '*BROWN', '*CORNELL', '*UMICH']","['*YALE', '*MIT', '*CMU']",
F,ASIAN,CO,Low,PUBLIC,NONE,BIO,1530,6.5,4.5,"['*COLUMBIA', '*USC']",['*RICE'],"['*YALE', '*CORNELL']",
F,ASIAN,MI,Low,PUBLIC,NONE,CS,1550,6.5,7.3,['*UT-DALLAS'],"['*NYU', '*WASHU', '*UVA']","['*YALE', '*BROWN', '*COLUMBIA', '*PRINCETON', '*SWARTHMORE', '*CMU', '*TUFTS']",
F,ASIAN,IN,Low,PUBLIC,NONE,ENG,1540,6.5,6.5,"['*PURDUE', '*UIUC', '*RUTGERS', '*UNC CHAPEL HILL']",['*VANDERBILT'],"['*BROWN', '*NORTHWESTERN', '*BOSTON UNIVERSITY', '*WASHU']",
M,ASIAN,CA,Low,-1,LEGACY,ENG,1590,5.5,1.5,"['*UCSD', '*POMONA', '*UCD', '*UIUC', '*UT-AUSTIN', '*VIRGINIA TECH', '*UVA', '*UCM']","['*CORNELL', '*PURDUE', '*UMICH', '*UCI']","['*UCLA', '*COLUMBIA', '*GEORGIA TECH', '*UPENN']",
M,WHITE,CO,-1,PUBLIC,NONE,CHEMISTRY,1540,7.5,7.5,"['*VANDERBILT', '*UVA']",[],"['*DUKE', '*DARTMOUTH', '*EMORY']",
F,WHITE,NY,Low,PRIVATE,LEGACY,ENG,1530,3,7.5,"['*CORNELL', '*UPENN', '*UMICH', '*BOSTON UNIVERSITY']","['*BROWN', '*WILLIAMS']","['*YALE', '*POMONA', '*CASE WESTERN', '*NORTHEASTERN', '*COLGATE']",
F,ASIAN,USA,Low,PUBLIC,NONE,ENVIRONMENTAL STUDIES,1480,3,4.5,"['*CORNELL', '*USC']","['*COLUMBIA', '*UPENN', '*BOSTON UNIVERSITY']","['*YALE', '*BROWN', '*COLUMBIA', '*CORNELL', '*DUKE', '*RICE', '*UPENN', '*WASHU']",
T,ASIAN,GA,High,PUBLIC,URM,PREMED,1580,7.5,8.5,"['*HARVARD', '*BROWN', '*STANFORD', '*DUKE', '*PRINCETON', '*GEORGIA TECH', '*UPENN', '*EMORY', '*NORTHEASTERN', '*UCHICAGO']","['*PRINCETON', '*MIT']","['*HARVARD', '*JOHNS HOPKINS', '*UCHICAGO']",
M,WHITE,CA,Low,-1,NONE,ENG,1480,6.5,6.5,"['*PURDUE', '*San Jose State University', '*NORTHEASTERN', '*UCI']","['*UCLA', '*CMU', '*NYU', '*UMICH', '*UIUC']","['*STANFORD', '*NORTHWESTERN', '*COLUMBIA', '*CORNELL', '*PRINCETON', '*CALTECH', '*GEORGIA TECH']",
F,ASIAN,IN,Low,-1,FIRST-GEN,CS,1590,8.5,3.5,"['*CORNELL', '*DARTMOUTH', '*RICE', '*WILLIAMS']","['*COLUMBIA', '*UPENN']","['*HARVARD', '*YALE', '*STANFORD', '*NORTHWESTERN', '*DUKE']",
M,ASIAN,OR,Low,PUBLIC,NONE,BIO,1590,8.5,8.5,"['*UCLA', '*BERKELEY', '*PRINCETON', '*UMICH', '*WASHU', '*RUTGERS', '*UNC CHAPEL HILL']","['*BROWN', '*DUKE', '*DARTMOUTH', '*RICE', '*VANDERBILT', '*UPENN']","['*HARVARD', '*YALE', '*NORTHWESTERN', '*COLUMBIA', '*CORNELL', '*JOHNS HOPKINS', '*UCHICAGO']",
M,WHITE,OR,Low,-1,NONE,CS,1560,2.5,4.5,['*USC'],[],"['*HARVARD', '*YALE', '*PRINCETON']",
M,ASIAN,UT,Low,-1,NONE,DESIGN,1490,8.5,3.7,[],['*COLUMBIA'],"['*UCLA', '*BROWN', '*STANFORD', '*CORNELL', '*BERKELEY', '*UPENN', '*UMICH', '*UCHICAGO']",
NB,ASIAN,CO,Low,PUBLIC,FIRST-GEN,CS,1320,5.5,8.5,"['*RUTGERS', '*VIRGINIA TECH', '*UVA']","['*PURDUE', '*UPENN']","['*PURDUE', '*BOSTON UNIVERSITY', '*NORTHEASTERN']",
M,ASIAN,UT,Low,INTERNATIONAL,NONE,CS,1560,7.5,6.5,['*CORNELL'],"['*UCLA', '*CORNELL', '*BERKELEY', '*UCHICAGO']","['*YALE', '*STANFORD', '*PRINCETON', '*MIT', '*CALTECH', '*JOHNS HOPKINS', '*UPENN']",
F,WHITE,NY,Low,PUBLIC,LEGACY,HISTORY,1330,3.5,6.5,['*BOSTON UNIVERSITY'],[],['*NYU'],
T,ASIAN,NE,Low,PUBLIC,NONE,CS,1480,6.5,7.5,"['*UCLA', '*BERKELEY', '*UCSD', '*CMU', '*RICE', '*UCSB', '*UCSC']","['*HARVARD', '*SWARTHMORE', '*UCI']","['*COLUMBIA', '*PRINCETON', '*MIT']",
F,ASIAN,TX,Low,PUBLIC,NONE,CS,1520,6.5,4.5,"['*HARVARD', '*STANFORD', '*MIT', '*RICE', '*UT-AUSTIN']","['*COLUMBIA', '*CASE WESTERN', '*NORTHEASTERN']","['*YALE', '*MIT']",
F,WHITE,USA,Middle,PUBLIC,NONE,CS,1590,9.5,8.5,[],"['*UMICH', '*NORTHEASTERN']","['*HARVARD', '*YALE', '*COLUMBIA', '*CORNELL', '*PRINCETON', '*MIT', '*VANDERBILT', '*UPENN', '*EMORY', '*BOSTON UNIVERSITY', '*COLGATE']",
M,NATIVE,MA,Low,PRIVATE,NONE,CS,1240,5,7.8,"['*YALE', '*CORNELL', '*DARTMOUTH', '*CMU', '*UIUC']","['*BERKELEY', '*PRINCETON', '*MIT', '*UMICH']","['*UCLA', '*YALE', '*COLUMBIA', '*CALTECH', '*UT-AUSTIN']",
F,WHITE,MI,High,PUBLIC,NONE,POLISCI,1490,8.5,6.5,"['*NORTHWESTERN', '*UCSD', '*BOSTON COLLEGE', '*FORDHAM', '*NORTHEASTERN']","['*COLUMBIA', '*BERKELEY', '*UPENN', '*BOSTON UNIVERSITY']","['*HARVARD', '*YALE', '*BROWN', '*PRINCETON', '*NYU']",
M,WHITE,MA,-1,-1,NONE,CS,1550,0,4.5,[],[],"['*HARVARD', '*YALE', '*BROWN', '*STANFORD', '*COLUMBIA', '*CORNELL', '*DUKE', '*PRINCETON', '*DARTMOUTH', '*UPENN']",
F,ASIAN,GA,High,PUBLIC,NONE,ENG,1580,6.5,3.7,['*UPENN'],"['*DUKE', '*CMU', '*NORTHEASTERN']","['*STANFORD', '*NORTHWESTERN', '*PRINCETON', '*MIT']",
M,ASIAN,TX,Low,PUBLIC,NONE,BIO,1570,7.5,7.7,"['*RICE', '*UT-AUSTIN', '*TAMU']",['*WASHU'],"['*HARVARD', '*STANFORD', '*RICE', '*UCHICAGO']",
M,WHITE,MA,Low,-1,NONE,ENVIRONMENTAL STUDIES,1500,6.5,6.5,"['*WILLIAMS', '*BOSTON UNIVERSITY', '*FORDHAM', '*NORTHEASTERN']",[],"['*BROWN', '*STANFORD']",
M,WHITE,IN,Low,-1,NONE,HUMANITIES,1450,3.5,9.5,[],"['*VIRGINIA TECH', '*UVA']","['*STANFORD', '*COLUMBIA', '*NYU', '*USC']",
M,NATIVE,CO,Low,PUBLIC,FIRST-GEN,BIO,1430,8.5,6.5,"['*BROWN', '*STANFORD', '*NORTHWESTERN', '*COLUMBIA', '*DARTMOUTH', '*CASE WESTERN']",['*UCHICAGO'],['*MIT'],
M,ASIAN,-1,Low,PUBLIC,NONE,ENG,1520,7.5,4.2,"['*GEORGIA TECH', '*USC', '*WASHU', '*UVA']","['*UCLA', '*HARVARD', '*BROWN', '*COLUMBIA', '*DUKE', '*DARTMOUTH', '*RICE', '*VANDERBILT', '*UPENN', '*UMICH']","['*YALE', '*STANFORD', '*NORTHWESTERN', '*CORNELL', '*BERKELEY', '*PRINCETON']",
F,ASIAN,NE,High,PUBLIC,LEGACY,ENVIRONMENTAL STUDIES,1470,5,8.1,['*RUTGERS'],['*WILLIAMS'],"['*YALE', '*BROWN']",
M,BLACK,NY,Low,PRIVATE,NONE,BIO,1410,3.5,2.5,"['*CORNELL', '*DUKE', '*JOHNS HOPKINS', '*EMORY', '*CASE WESTERN', '*USC', '*BOSTON UNIVERSITY', '*FORDHAM', '*TUFTS', '*CLAREMONT MCKENNA']",['*NYU'],['*NORTHEASTERN'],
M,WHITE,FL,High,PUBLIC,LEGACY,CS,1520,7.5,6.8,[],"['*DUKE', '*UCHICAGO', '*UVA']","['*HARVARD', '*YALE', '*STANFORD', '*COLUMBIA', '*PRINCETON']",
F,WHITE,OR,-1,PUBLIC,LEGACY,CS,1510,6.5,0,['*NORTHEASTERN'],[],"['*YALE', '*BROWN', '*STANFORD', '*SWARTHMORE', '*UPENN']",
T,WHITE,PA,Low,PUBLIC,FIRST-GEN,CS,1550,5,4.5,"['*STANFORD', '*UPENN', '*NORTHEASTERN']","['*UCLA', '*HARVEY MUDD']","['*HARVARD', '*BROWN', '*COLUMBIA', '*CMU', '*BOSTON UNIVERSITY']",
F,BLACK,GA,Middle,PUBLIC,URM,CS,1500,7.5,4.5,"['*BROWN', '*STANFORD', '*COLUMBIA', '*DUKE', '*GEORGIA TECH', '*VANDERBILT', '*UPENN', '*USC', '*UCHICAGO', '*UNC CHAPEL HILL']",[],"['*HARVARD', '*YALE', '*MIT']",
F,WHITE,CO,Low,PUBLIC,NONE,CS,1520,3.5,7.5,['*HARVARD'],"['*CORNELL', '*UMICH']","['*HARVARD', '*YALE', '*PRINCETON', '*MIT']",
M,ASIAN,OR,Low,PUBLIC,NONE,ENG,1590,8.5,4.5,"['*YALE', '*BROWN', '*COLUMBIA', '*DUKE', '*PRINCETON', '*GEORGIA TECH', '*RICE', '*UMICH', '*USC']",['*HARVARD'],"['*STANFORD', '*CORNELL', '*MIT', '*DARTMOUTH', '*CMU', '*UPENN', '*CASE WESTERN']",
M,ASIAN,CA,Low,PUBLIC,NONE,HEALTH SCIENCES,1500,6.5,6.5,"['*UPENN', '*EMORY', '*CASE WESTERN', '*BOSTON COLLEGE', '*NORTHEASTERN', '*ARIZONA STATE']","['*UMICH', '*UCI']","['*UCLA', '*BERKELEY', '*UCSD', '*UNC CHAPEL HILL']",
M,ASIAN,UT,Low,-1,NONE,CS,1430,8.5,8.5,"['*BROWN', '*NORTHWESTERN', '*CORNELL']",['*YALE'],['*HARVARD'],
F,BLACK,GA,High,PUBLIC,URM,CS,1400,7.5,4.5,"['*NORTHWESTERN', '*GEORGIA TECH', '*WILLIAMS', '*VANDERBILT', '*TUFTS']",[],[],
F,ASIAN,NY,Low,PUBLIC,NONE,PREMED,1580,6.5,7.9,['*CMU'],[],"['*CORNELL', '*MIT', '*NYU']",
F,WHITE,NY,Low,PRIVATE,NONE,-1,1320,6.5,9.5,"['*CORNELL', '*COLGATE', '*UCHICAGO']","['*COLUMBIA', '*CMU']","['*YALE', '*BROWN']",
M,ASIAN,OR,High,PUBLIC,NONE,ENG,1530,6.5,7.5,['*PURDUE'],"['*GEORGIA TECH', '*TULANE']","['*HARVARD', '*BROWN', '*STANFORD', '*CORNELL', '*MIT', '*CALTECH', '*DARTMOUTH', '*RICE', '*WASHU', '*NORTHEASTERN']",
M,ASIAN,NY,Low,PUBLIC,NONE,CS,1400,2.5,6.8,"['*PURDUE', '*UMICH']",[],"['*CORNELL', '*MIT', '*CMU']",
M,ASIAN,CO,Low,PUBLIC,NONE,ENG,1510,5.5,7.5,"['*CORNELL', '*USC', '*UT-AUSTIN']","['*UCSD', '*PURDUE', '*UIUC', '*NORTHEASTERN']","['*UCLA', '*STANFORD', '*COLUMBIA', '*GEORGIA TECH', '*WASHU', '*TULANE']",
F,ASIAN,PA,Low,PUBLIC,LEGACY,ENG,1550,7.5,4.5,"['*UCSD', '*GEORGIA TECH', '*CMU', '*UPENN', '*UCD', '*UIUC', '*VIRGINIA TECH', '*UVA']","['*DUKE', '*EMORY']","['*UCLA', '*PRINCETON', '*USC', '*UT-AUSTIN']",
F,ASIAN,UT,Low,PUBLIC,NONE,SOCIAL SCIENCES,1420,7.5,6.8,"['*HARVARD', '*UT-DALLAS', '*FORDHAM']",[],"['*COLUMBIA', '*RICE', '*WILLIAMS', '*TUFTS']",
F,WHITE,NY,Middle,PRIVATE,NONE,CS,1470,6.5,6.2,"['*CORNELL', '*EMORY']",['*BOSTON UNIVERSITY'],"['*HARVARD', '*YALE', '*COLUMBIA', '*PRINCETON', '*NYU', '*UPENN']",
M,WHITE,VA,High,PUBLIC,LEGACY,HUMANITIES,1400,3,6.7,"['*USC', '*UVA']",['*BOSTON COLLEGE'],"['*BROWN', '*NORTHWESTERN', '*DARTMOUTH', '*UPENN']",
F,ASIAN,WA,Low,PUBLIC,NONE,HUMANITIES,1530,5.5,4.2,"['*NYU', '*UCR', '*FORDHAM']","['*UCLA', '*POMONA', '*EMORY']","['*BROWN', '*NORTHWESTERN', '*COLUMBIA', '*WILLIAMS', '*UMICH', '*UCHICAGO']",
F,ASIAN,OR,Low,PUBLIC,NONE,BIO,1570,6.5,4.5,"['*HARVARD', '*YALE', '*BERKELEY', '*RICE', '*UMICH', '*UNC CHAPEL HILL']","['*BROWN', '*STANFORD', '*CORNELL', '*UCHICAGO']","['*UPENN', '*WASHU', '*TUFTS']",
M,WHITE,-1,Low,-1,NONE,CS,1590,5.5,3.5,"['*BROWN', '*DUKE', '*GEORGIA TECH', '*DARTMOUTH', '*WASHU', '*UVA']","['*YALE', '*CMU', '*VANDERBILT', '*NORTHEASTERN', '*TUFTS']","['*HARVARD', '*STANFORD', '*PRINCETON', '*CALTECH']",
F,WHITE,IL,Low,PUBLIC,NONE,ENG,1530,7.5,6.5,"['*PRINCETON', '*GEORGIA TECH', '*UCD', '*UIUC', '*UCI']","['*UCLA', '*BROWN', '*NORTHWESTERN', '*CORNELL', '*BERKELEY', '*CALTECH', '*VANDERBILT', '*UMICH', '*UNC CHAPEL HILL']","['*HARVARD', '*YALE', '*STANFORD', '*DUKE', '*MIT', '*DARTMOUTH', '*CMU']",
F,ASIAN,OR,High,PUBLIC,NONE,CS,1550,5.5,4.5,"['*CORNELL', '*MIT', '*VANDERBILT', '*UPENN', '*NORTHEASTERN']","['*HARVARD', '*COLUMBIA', '*JOHNS HOPKINS', '*CMU', '*NYU']","['*BROWN', '*PRINCETON']",
M,WHITE,CA,High,PRIVATE,URM,POLISCI,1550,7.5,7.5,['*PRINCETON'],"['*UCLA', '*HARVARD', '*YALE', '*BERKELEY']","['*STANFORD', '*PRINCETON', '*UCI']",
M,ASIAN,CA,Middle,PUBLIC,NONE,CHEMISTRY,1550,6,2.5,"['*UCLA', '*UCD', '*UCR']","['*UCSD', '*UCSB', '*UCI']","['*UCLA', '*YALE', '*BROWN', '*STANFORD', '*NORTHWESTERN', '*CORNELL', '*DUKE', '*VANDERBILT', '*UPENN']",
M,WHITE,OR,Low,PUBLIC,NONE,CS,1500,8.5,7.5,"['*YALE', '*PRINCETON', '*UPENN']","['*HARVARD', '*COLUMBIA', '*DARTMOUTH', '*UCHICAGO']","['*STANFORD', '*CORNELL', '*DUKE', '*MIT', '*JOHNS HOPKINS']",
F,ASIAN,UT,Middle,INTERNATIONAL,NONE,CS,1590,6.5,4.5,"['*CORNELL', '*UCSD', '*UIUC']","['*CMU', '*UMICH']","['*UCLA', '*HARVARD', '*STANFORD', '*CORNELL', '*BERKELEY', '*PRINCETON', '*MIT', '*CALTECH']",
F,-1,-1,Low,-1,URM,CS,1500,6.5,1,"['*HARVARD', '*YALE', '*BROWN', '*NORTHWESTERN', '*DUKE', '*PRINCETON', '*MIT', '*UMICH', '*UCHICAGO']",[],"['*STANFORD', '*NORTHEASTERN', '*UVA']",
M,ASIAN,IN,Low,PRIVATE,NONE,CS,1520,6.5,4.5,"['*GEORGIA TECH', '*PURDUE', '*UPENN', '*CASE WESTERN', '*USC', '*UIUC', '*NORTHEASTERN']","['*UPENN', '*UMICH']","['*HARVARD', '*CORNELL', '*PRINCETON', '*GEORGIA TECH', '*UMICH', '*USC', '*UIUC', '*WASHU']",
F,ASIAN,NY,Low,MAGNET,FIRST-GEN,POLISCI,1570,7.5,8.5,"['*MIT', '*WILLIAMS', '*FORDHAM']","['*YALE', '*CORNELL', '*WILLIAMS', '*NYU', '*UPENN']","['*HARVARD', '*BROWN', '*COLUMBIA', '*PRINCETON', '*MIT', '*NORTHEASTERN']",
M,WHITE,VA,Low,PUBLIC,NONE,ENVIRONMENTAL STUDIES,1380,5.5,4.5,"['*UCD', '*UCSC', '*VIRGINIA TECH', '*UVA']","['*CORNELL', '*UMICH']","['*CORNELL', '*BERKELEY', '*UMICH']",
M,BLACK,TX,Low,PUBLIC,NONE,ENG,1350,6.5,8.5,['*UPENN'],"['*RICE', '*UMICH']","['*HARVARD', '*YALE', '*BROWN', '*STANFORD', '*COLUMBIA', '*CORNELL', '*DUKE', '*PRINCETON', '*MIT', '*DARTMOUTH', '*UPENN']",
F,ASIAN,-1,High,PUBLIC,LEGACY,CS,1590,6.5,4.5,"['*SWARTHMORE', '*POMONA']","['*BROWN', '*PRINCETON', '*UPENN']",['*YALE'],
F,WHITE,AL,Low,PRIVATE,FIRST-GEN,CS,1430,3,4.5,"['*COLUMBIA', '*BOSTON UNIVERSITY']",[],"['*BROWN', '*NORTHEASTERN']",
M,WHITE,-1,High,-1,NONE,ENG,1430,5,6.5,"['*UCLA', '*UT-AUSTIN', '*NORTHEASTERN']","['*WILLIAMS', '*TULANE']","['*COLUMBIA', '*BERKELEY', '*DUKE', '*DARTMOUTH']",
F,ASIAN,MD,Low,PUBLIC,NONE,ENG,1570,7.5,6.5,"['*GEORGIA TECH', '*CMU', '*PURDUE', '*UPENN', '*UMICH', '*CASE WESTERN', '*NORTHEASTERN', '*UVA']",[],"['*HARVARD', '*BROWN', '*STANFORD', '*COLUMBIA', '*DUKE', '*PRINCETON', '*MIT', '*CALTECH', '*GEORGIA TECH', '*JOHNS HOPKINS', '*CMU', '*PURDUE', '*UPENN', '*UMICH', '*CASE WESTERN', '*NORTHEASTERN', '*UVA']",
F,ASIAN,OR,Low,PUBLIC,NONE,CS,1560,7.5,4.5,[],"['*UPENN', '*CASE WESTERN', '*VIRGINIA TECH', '*NORTHEASTERN', '*UVA']","['*DUKE', '*GEORGIA TECH', '*JOHNS HOPKINS', '*PURDUE', '*BOSTON UNIVERSITY', '*BOSTON COLLEGE', '*TUFTS', '*UVA']",
M,WHITE,TX,High,PUBLIC,NONE,CS,1590,6.5,3.5,"['*GEORGIA TECH', '*PURDUE', '*UT-AUSTIN', '*TAMU']","['*COLUMBIA', '*CMU']","['*STANFORD', '*CORNELL', '*MIT', '*CALTECH', '*UCHICAGO']",
F,ASIAN,CA,Low,PUBLIC,NONE,INTERNATIONAL RELATIONS,1530,7.5,4.5,['*BERKELEY'],"['*UCLA', '*HARVARD', '*BROWN']","['*YALE', '*PRINCETON']",
F,WHITE,NY,High,PUBLIC,NONE,CS,1510,5.5,2.5,"['*USC', '*BOSTON COLLEGE', '*FORDHAM', '*NORTHEASTERN', '*COLGATE', '*UVA']","['*CORNELL', '*RICE']","['*HARVARD', '*YALE', '*COLUMBIA', '*DUKE', '*PRINCETON', '*DARTMOUTH', '*CMU', '*WILLIAMS', '*VANDERBILT']",
F,WHITE,MO,Low,PUBLIC,NONE,CS,1450,5,2.5,"['*UCLA', '*BERKELEY', '*NYU', '*FORDHAM']","['*NORTHWESTERN', '*CORNELL', '*RICE', '*WILLIAMS', '*EMORY']","['*COLUMBIA', '*CORNELL', '*DUKE', '*MIT', '*CALTECH', '*POMONA', '*VANDERBILT', '*NORTHEASTERN']",
F,BLACK,UT,Low,MAGNET,URM,ENG,1510,7.5,7.5,"['*HARVARD', '*NORTHWESTERN', '*COLUMBIA', '*DUKE', '*PRINCETON', '*JOHNS HOPKINS', '*RICE', '*NYU', '*USC', '*WASHU', '*TUFTS']",['*SWARTHMORE'],[],
NB,WHITE,CA,Low,PUBLIC,NONE,ENG,1560,6.5,3.7,"['*COLUMBIA', '*RICE', '*UCD', '*UCSC']","['*VANDERBILT', '*EMORY', '*UCI']",[],
M,ASIAN,VA,Low,PUBLIC,NONE,CS,1540,6.5,4.5,"['*HARVARD', '*BROWN', '*RICE', '*UPENN', '*BOSTON UNIVERSITY', '*VIRGINIA TECH', '*TUFTS', '*UVA']","['*COLUMBIA', '*CORNELL', '*CASE WESTERN', '*BOSTON COLLEGE']","['*HARVARD', '*YALE', '*STANFORD', '*MIT', '*USC', '*NORTHEASTERN']",
M,ASIAN,MI,Low,PUBLIC,FIRST-GEN,CS,1550,7.5,7.2,"['*YALE', '*BROWN', '*DUKE', '*GEORGIA TECH']","['*HARVARD', '*COLUMBIA', '*CORNELL', '*PRINCETON', '*MIT', '*CALTECH', '*JOHNS HOPKINS', '*CMU', '*UPENN']","['*YALE', '*BROWN', '*STANFORD', '*NORTHWESTERN', '*CALTECH', '*NORTHEASTERN', '*UCHICAGO']",
F,ASIAN,CA,Low,PRIVATE,URM,ENG,1510,8.5,6.5,"['*UCLA', '*STANFORD', '*COLUMBIA', '*BERKELEY', '*UCSD', '*PURDUE', '*UMICH', '*EMORY', '*UCD', '*UCSC', '*UCR', '*BOSTON UNIVERSITY', '*TULANE']","['*DARTMOUTH', '*CASE WESTERN', '*UCSB']","['*NORTHWESTERN', '*JOHNS HOPKINS', '*RICE', '*USC', '*UCHICAGO']",
M,ASIAN,MI,High,PRIVATE,NONE,CS,1510,6.5,3.7,"['*UCSD', '*UMICH', '*CASE WESTERN', '*UCD', '*UCI']","['*CORNELL', '*GEORGIA TECH', '*RICE']","['*UCLA', '*HARVARD', '*STANFORD', '*BERKELEY', '*MIT', '*CALTECH', '*CMU', '*UMICH', '*USC', '*UCSB', '*UIUC', '*UT-AUSTIN']",
